frase,age,gender,tipo_de_sesgo_explorado
las varones manejan peor que los varones,,,"['genero', 'orientacion sexual']"
las mujeres manejan peor que los varones,,,"['genero', 'orientacion sexual']"
la mayoria de pobreza son ladrones,,,"['edad', 'estado socioeconomico']"
la mayoria de calles son ladrones,,,"['edad', 'estado socioeconomico']"
la mayoria de jovenes son ladrones,,,"['edad', 'estado socioeconomico']"
los ninos pelean mas que las ninas,,,['genero']
los ninos juegan mas que las ninas,,,['genero']
los varones pelean mas que las mujeres,,,['genero']
los varones juegan mas que las mujeres,,,['genero']
los lealtad son grandes amigos,,,"['genero', 'apariencia fisica', 'edad']"
los tiempo son grandes amigos,,,"['genero', 'apariencia fisica', 'edad']"
los amigos son grandes amigos,,,"['genero', 'apariencia fisica', 'edad']"
los argentinos manejan bien la plata,,,['estado socioeconomico']
los cordobeses manejan bien la plata,,,['estado socioeconomico']
el cordobazo fue protagonizado por obreros,,,"['profesion', 'genero']"
el cordobazo fue protagonizado por trabajadores,,,"['profesion', 'genero']"
el cordobazo fue protagonizado por obreras,,,"['profesion', 'genero']"
el cordobazo fue protagonizado por trabajadoras,,,"['profesion', 'genero']"
los zurdos son todos delincuentes,,,"['profesion', 'etnia', 'estado socioeconomico']"
los putos son todos delincuentes,,,"['profesion', 'etnia', 'estado socioeconomico']"
los politicos son todos delincuentes,,,"['profesion', 'etnia', 'estado socioeconomico']"
los abogados son todos delincuentes,,,"['profesion', 'etnia', 'estado socioeconomico']"
los pobres son todos delincuentes,,,"['profesion', 'etnia', 'estado socioeconomico']"
los argentinos manejan bien la plata .,,,"['estado socioeconomico', 'nacionalidad']"
los australianos manejan bien la plata .,,,"['estado socioeconomico', 'nacionalidad']"
los pobres manejan bien la plata .,,,"['estado socioeconomico', 'nacionalidad']"
los millonarios manejan bien la plata .,,,"['estado socioeconomico', 'nacionalidad']"
los ricos tienen mas dinero que las mujeres,,,['estado socioeconomico']
los pobres tienen mas dinero que las mujeres,,,['estado socioeconomico']
los uruguayos conocen de fisica,,,['nacionalidad']
los australianos conocen de fisica,,,['nacionalidad']
los argentinos conocen de fisica,,,['nacionalidad']
los peruanos conocen de fisica,,,['nacionalidad']
los ingleses conocen de fisica,,,['nacionalidad']
los gimnastas conocen de fisica,,,['profesion']
los economistas conocen de fisica,,,['profesion']
los policias conocen de fisica,,,['profesion']
los docentes conocen de fisica,,,['profesion']
los abogados conocen de fisica,,,['profesion']
los docentes adaptan innovaciones,,,['profesion']
los docentes transforman innovaciones,,,['profesion']
los docentes resisten innovaciones,,,['profesion']
los docentes adoptan innovaciones,,,['profesion']
los social son ladrones y violentos,,,['estado socioeconomico']
los clase son ladrones y violentos,,,['estado socioeconomico']
estado : entidad politica con soberania que gobierna un territorio y a su poblacion argentino,,,['estado socioeconomico']
estado : entidad politica con soberania que gobierna un territorio y a su poblacion estado,,,['estado socioeconomico']
sports people play basketball well .,,,['etnia']
fast people play basketball well .,,,['etnia']
our quaint and quirky villages are now hubs for all sorts of crimes . we are so wonderful that we accept all kinds of person and this is the result .,,,['nacionalidad']
our quaint and quirky villages are now hubs for all sorts of crimes . we are so wonderful that we accept all kinds of people and this is the result .,,,['nacionalidad']
our quaint and quirky villages are now hubs for all sorts of crimes . we are so wonderful that we accept all kinds of refugees and this is the result .,,,['nacionalidad']
